timestamp,participant_id,experiment_run,Survived_ai,cf_explanations,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass,Age,SibSp,Parch,Fare,Survived
2024-07-11 10:36:12,test,test,Survived,"[""Changing from 1st Passanger Class to 3rd and from 1 Sibling/Spouse to 3 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and the Age from 22 to 68 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Age from 22 to 38 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,22,1,1,1104,0
2024-07-15 15:32:39,testing,1,Survived,"[""Changing from 1st Passanger Class to 3rd and from 1 Sibling/Spouse to 5 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 2nd and the Fare from £1104 to £274 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 1st Passanger Class to 3rd and the Fare from £1104 to £3844 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,0,0,1,1,22,1,1,1104,0
2024-07-16 11:49:52,n/a,n/a,Did not Survive,"[""Changing from 3rd Passanger Class to 2nd and the Age from 25 to 23 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 1st and from 4 Siblings to 1 will result in the prediction changing to 'SURVIVED'."", ""Changing from 3rd Passanger Class to 2nd and the Age from 25 to 41 will result in the prediction changing to 'SURVIVED'.""]",1,0,0,0,1,3,25,4,1,3500,1
2024-07-16 12:06:43,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 6 and from 4 Siblings to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 2 and from 1 Parent/Child to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing from 4 Siblings to 2 and the Fare from £3500 to £3736 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-16 12:58:19,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 4 and the Fare from £3500 to £7859 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 4 and the Fare from £3500 to £7961 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 1 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-16 13:45:56,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 31 and the Fare from £3500 to £5528 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 25 to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 6 and from 4 Siblings to 1 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-16 13:47:32,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 4 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 6 and from 4 Siblings to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 8 and from 1 Parent/Child to 4 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-18 13:29:11,n/a,n/a,Did not Survive,"[""Changing from 1st Passenger Class to 2nd and the Age from 25 to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 2 and from 4 Siblings to 3 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 10 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-19 09:29:29,n/a,n/a,Did not Survive,"[""Changing the Fare from £3500 to £8336 will result in the prediction changing to 'SURVIVED'."", ""Changing the Fare from £3500 to £8295 will result in the prediction changing to 'SURVIVED'."", ""Changing from 4 Siblings to 0 and from 1 Parent/Child to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-19 10:39:03,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 7 and the Fare from £3500 to £7726 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 1 and from 4 Siblings to 1 will result in the prediction changing to 'SURVIVED'."", ""Changing from 1st Passenger Class to 2nd and the Age from 25 to 2 will result in the prediction changing to 'DID NOT SURVIVE'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-19 10:53:02,n/a,n/a,Did not Survive,"[""Changing the Age from 25 to 7 and the Fare from £3500 to £9156 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 25 to 2 will result in the prediction changing to 'SURVIVED'."", ""Changing from 4 Siblings to 0 and from 1 Parent/Child to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-19 11:12:45,n/a,n/a,Did not Survive,"[""Changing from 4 Siblings to 2 and the Fare from £3500 to £8844 will result in the prediction changing to 'SURVIVED'."", ""Changing from 4 Siblings to 2 and the Fare from £3500 to £3815 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 25 to 23 and from 4 Siblings to 1 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,25,4,1,3500,1
2024-07-22 16:39:48,n/a,n/a,Survived,"[""Changing from 2nd Passanger Class to 3rd and the Fare from £3343 to £7737 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and the Fare from £3343 to £9006 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing from 2nd Passanger Class to 3rd and the Fare from £3343 to £3483 will result in the prediction changing to 'DID NOT SURVIVE'.""]",1,0,1,0,0,2,79,2,4,3343,0
2024-07-30 14:40:27,n/a,n/a,Did not Survive,"[""Changing the Age from 14 to 6 and from 6 Siblings to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 14 to 3 and from 6 Siblings to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 14 to 6 and from 6 Siblings to 1 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,3,14,6,0,1396,0
2024-08-04 15:10:48,n/a,n/a,Did not Survive,"[""Changing the Age from 75 to 1 and the Fare from £502 to £2413 will result in the prediction changing to 'DID NOT SURVIVE'."", ""Changing the Age from 75 to 10 and from 5 Siblings to 0 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 75 to 9 and the Fare from £502 to £9673 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,75,5,1,502,1
2024-08-26 15:42:46,n,n,Did not Survive,"[""Changing the Fare from £783 to £8718 will result in the prediction changing to 'SURVIVED'."", ""Changing the Fare from £783 to £2494 will result in the prediction changing to 'SURVIVED'."", ""Changing the Fare from £783 to £8978 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,1,13,0,4,783,1
2024-08-28 17:36:07,na,na,Did not Survive,"[""Changing the Age from 60 to 5 and the Fare from £1329 to £7899 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 60 to 6 and from 1 Parent/Child to 5 will result in the prediction changing to 'SURVIVED'."", ""Changing the Age from 60 to 10 and from 1 Sibling/Spouse to 0 will result in the prediction changing to 'SURVIVED'.""]",0,1,0,0,1,3,60,1,1,1329,1
