Name,Sex,Embarked,Pclass,Age,SibSp,Parch,Fare,Survived
Mrs (Selena Rogers) Cook,female,S,2,22,0,0,1001.91,1
Mrs Walter H (Irene Colvin) Corbett,female,S,2,30,0,0,1240.46,0
Mrs Percy C (Mary Phyllis Elizabeth Miller) Corey,female,S,2,,0,0,2003.82,0
"Mr Henry ""Harry"" Cotterill",male,S,2,21,0,0,1097.33,0
Mr Alfred Fleming Cunningham,male,S,2,,0,0,0,0
Master John Morgan Jr Davies,male,S,2,8,1,1,3506.685,1
Mr Charles Henry Davies,male,S,2,18,0,0,7013.37,0
Mrs John Morgan (Elizabeth Agnes Mary White) Davies,female,S,2,48,0,2,3506.685,1
Miss Mary Davis,female,S,2,28,0,0,1240.46,1
Mr Jose Joaquim de Brito,male,S,2,32,0,0,1240.46,0
Mr Percy William Deacon,male,S,2,17,0,0,7013.37,0
Mr Sebastiano del Carlo,male,C,2,29,1,0,2645.118736,0
Mrs Sebastiano (Argenia Genovesi) del Carlo,female,C,2,24,1,0,2645.118736,1
Mr Herbert Denbury,male,S,2,25,0,0,3005.73,0
Mr William Dibden,male,S,2,18,0,0,7013.37,0
Miss Elsie Doling,female,S,2,18,0,1,2194.66,1
Mrs John T (Ada Julia Bone) Doling,female,S,2,34,0,1,2194.66,1
Mr William James Downton,male,S,2,54,0,0,2480.92,0
Master Marshall Brines Drew,male,S,2,8,0,2,3101.15,1
Mr James Vivian Drew,male,S,2,42,1,1,3101.15,0
Mrs James Vivian (Lulu Thorne Christian) Drew,female,S,2,34,1,1,3101.15,1
Miss Asuncion Duran y More,female,C,2,27,1,0,1322.358986,1
Miss Florentina Duran y More,female,C,2,30,1,0,1322.358986,1
Mr George Floyd Eitemiller,male,S,2,23,0,0,1240.46,0
Mr Ingvar Enander,male,S,2,21,0,0,1240.46,0
Mr Arne Jonas Fahlstrom,male,S,2,18,0,0,1240.46,0
Mr Harry Faunthorpe,male,S,2,40,1,0,2480.92,0
Mrs Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,S,2,29,1,0,2480.92,1
Mr Joseph Charles Fillbrook,male,S,2,18,0,0,1001.91,0
Mr Stanley Hubert Fox,male,S,2,36,0,0,1240.46,0
"Mr Anthony Wood ""Archie"" Frost",male,S,2,,0,0,0,0
Miss Annie Clemmer Funk,female,S,2,38,0,0,1240.46,0
Mr Joseph J Fynney,male,S,2,35,0,0,2480.92,0
Mr Harry Gale,male,S,2,38,1,0,2003.82,0
Mr Shadrach Gale,male,S,2,34,1,0,2003.82,0
Miss Ethel Garside,female,S,2,34,0,0,1240.46,1
Mr Alfred Gaskell,male,S,2,16,0,0,2480.92,0
Mr Lawrence Gavey,male,S,2,26,0,0,1001.91,0
Mr William Gilbert,male,S,2,47,0,0,1001.91,0
Mr Edgar Giles,male,S,2,21,1,0,1097.33,0
Mr Frederick Edward Giles,male,S,2,21,1,0,1097.33,0
Mr Ralph Giles,male,S,2,24,0,0,1288.17,0
Mr John William Gill,male,S,2,24,0,0,1240.46,0
Mr William Henry Gillespie,male,S,2,34,0,0,1240.46,0
Mr Hans Kristensen Givard,male,S,2,30,0,0,1240.46,0
Mr Samuel Greenberg,male,S,2,52,0,0,1240.46,0
Mr Reginald Hale,male,S,2,30,0,0,1240.46,0
Master Viljo Hamalainen,male,S,2,0.6667,1,1,1383.59,1
Mrs William (Anna) Hamalainen,female,S,2,24,0,2,1383.59,1
Mr William H Harbeck,male,S,2,44,0,0,1240.46,0
"Miss Annie Jessie ""Nina"" Harper",female,S,2,6,0,1,3148.86,1
Rev John Harper,male,S,2,28,0,1,3148.86,0
Mr George Harris,male,S,2,62,0,0,1001.91,1
Mr Walter Harris,male,S,2,30,0,0,1001.91,0
Miss Eva Miriam Hart,female,S,2,7,0,2,2504.775,1
Mr Benjamin Hart,male,S,2,43,1,1,2504.775,0
Mrs Benjamin (Esther Ada Bloomfield) Hart,female,S,2,45,1,1,2504.775,1
Miss Alice Herman,female,S,2,24,1,2,6202.3,1
Miss Kate Herman,female,S,2,24,1,2,6202.3,1
Mr Samuel Herman,male,S,2,49,1,2,6202.3,0
Mrs Samuel (Jane Laver) Herman,female,S,2,48,1,2,6202.3,1
Mrs (Mary D Kingcome) Hewlett,female,S,2,55,0,0,1526.72,1
Mr Leonard Mark Hickman,male,S,2,24,2,0,7013.37,0
Mr Lewis Hickman,male,S,2,32,2,0,7013.37,0
Mr Stanley George Hickman,male,S,2,21,2,0,7013.37,0
Miss Marta Hiltunen,female,S,2,18,1,1,1240.46,0
"Miss Ellen ""Nellie"" Hocking",female,S,2,20,2,1,2194.66,1
Mr Richard George Hocking,male,S,2,23,2,1,1097.33,0
Mr Samuel James Metcalfe Hocking,male,S,2,36,0,0,1240.46,0
Mrs Elizabeth (Eliza Needs) Hocking,female,S,2,54,1,3,2194.66,1
Mr Henry Price Hodges,male,S,2,50,0,0,1240.46,0
Mr Stephen Hold,male,S,2,44,1,0,2480.92,0
Mrs Stephen (Annie Margaret Hill) Hold,female,S,2,29,1,0,2480.92,1
Mr Ambrose Jr Hood,male,S,2,21,0,0,7013.37,0
Mr Masabumi Hosono,male,S,2,42,0,0,1240.46,1
Mr Benjamin Howard,male,S,2,63,1,0,2480.92,0
Mrs Benjamin (Ellen Truelove Arman) Howard,female,S,2,60,1,0,2480.92,0
Mr George Henry Hunt,male,S,2,33,0,0,1171.2805,0
Miss Bertha Ilett,female,S,2,17,0,0,1001.91,1
Mr Sidney Samuel Jacobsohn,male,S,2,42,1,0,2576.34,0
Mrs Sidney Samuel (Amy Frances Christy) Jacobsohn,female,S,2,24,2,1,2576.34,1
Mr John Denzil Jarvis,male,S,2,47,0,0,1431.3,0
Mr Clifford Thomas Jefferys,male,S,2,24,2,0,3005.73,0
Mr Ernest Wilfred Jefferys,male,S,2,22,2,0,3005.73,0
Mr Stephen Curnow Jenkin,male,S,2,32,0,0,1001.91,0
Mrs Amin S (Marie Marthe Thuillard) Jerwan,female,C,2,23,0,0,1316.004014,1
Mr Sinai Kantor,male,S,2,34,1,0,2480.92,0
Mrs Sinai (Miriam Sternin) Kantor,female,S,2,24,1,0,2480.92,1
Mrs J Frank (Claire Bennett) Karnes,female,S,2,22,0,0,2003.82,0
Miss Nora A Keane,female,Q,2,,0,0,1178.437,1
Mr Daniel Keane,male,Q,2,35,0,0,1178.437,0
"Mrs Florence ""Fannie"" Kelly",female,S,2,45,0,0,1288.17,1
Rev Charles Leonard Kirkland,male,Q,2,57,0,0,1178.437,0
Mr Robert J Knight,male,S,2,,0,0,0,0
Mr Johan Henrik Johannesson Kvillner,male,S,2,31,0,0,1001.91,0
Mrs William (Anna Sylfven) Lahtinen,female,S,2,26,1,1,2480.92,0
Rev William Lahtinen,male,S,2,30,1,1,2480.92,0
Mr John Joseph Lamb,male,Q,2,,0,0,1021.785986,0
Miss Louise Laroche,female,C,2,1,1,2,3967.487264,1
Miss Simonne Marie Anne Andree Laroche,female,C,2,3,1,2,3967.487264,1
Mr Joseph Philippe Lemercier Laroche,male,C,2,25,1,2,3967.487264,0
Mrs Joseph (Juliette Marie Louise Lafargue) Laroche,female,C,2,22,1,2,3967.487264,1
Miss Bertha Lehmann,female,C,2,17,0,0,1145.04,1
Miss Jessie Wills Leitch,female,S,2,,0,0,3148.86,1
Mrs (Amelia Milley) Lemore,female,S,2,34,0,0,1001.91,1
Mr Rene Jacques Levy,male,C,2,36,0,0,1228.5325,0
Mr Robert William Norman Leyson,male,S,2,24,0,0,1001.91,0
Mr John Lingane,male,Q,2,61,0,0,1178.437,0
Mr Charles Alexander Louch,male,S,2,50,1,0,2480.92,0
Mrs Charles Alexander (Alice Adelaide Slow) Louch,female,S,2,42,1,0,2480.92,1
Mrs (Mary) Mack,female,S,2,57,0,0,1001.91,0
Mr Noel Malachard,male,C,2,,0,0,1435.670236,0
Master Andre Mallet,male,C,2,1,0,2,3530.940764,1
Mr Albert Mallet,male,C,2,31,1,1,3530.940764,0
Mrs Albert (Antoinette Magnin) Mallet,female,C,2,24,1,1,3530.940764,1
Mr Serafino Emilio Mangiavacchi,male,C,2,,0,0,1486.567264,0
Mr William John Matthews,male,S,2,30,0,0,1240.46,0
Mr Frank Hubert Maybery,male,S,2,40,0,0,1526.72,0
Mr Arthur Gordon McCrae,male,S,2,32,0,0,1288.17,0
Mr James Matthew McCrie,male,S,2,30,0,0,1240.46,0
Mr Peter David McKane,male,S,2,46,0,0,2480.92,0
Miss Madeleine Violet Mellinger,female,S,2,13,0,1,1860.69,1
Mrs (Elizabeth Anne Maidment) Mellinger,female,S,2,41,0,1,1860.69,1
Mr William John Mellors,male,S,2,19,0,0,1001.91,1
Mr August Meyer,male,S,2,39,0,0,1240.46,0
Mr Jacob Christian Milling,male,S,2,48,0,0,1240.46,0
Mr Henry Michael Mitchell,male,S,2,70,0,0,1001.91,0
Rev Juozas Montvila,male,S,2,27,0,0,1240.46,0
Dr Ernest Moraweck,male,S,2,54,0,0,1335.88,0
"Mr Henry Samuel (""Mr Henry Marshall"") Morley",male,S,2,39,0,0,2480.92,0
Mr Thomas Charles Mudd,male,S,2,16,0,0,1001.91,0
Mr Thomas Francis Myles,male,Q,2,62,0,0,924.38125,0
Mr Nicholas Nasser,male,C,2,32.5,1,0,2869.355736,0
Mrs Nicholas (Adele Achem) Nasser,female,C,2,14,1,0,2869.355736,1
Master Edmond Roger Navratil,male,S,2,2,1,1,2480.92,1
Master Michel M Navratil,male,S,2,3,1,1,2480.92,1
"Mr Michel (""Louis M Hoffman"") Navratil",male,S,2,36.5,0,2,2480.92,0
Mr Israel Nesson,male,S,2,26,0,0,1240.46,0
Mr Joseph Charles Nicholls,male,S,2,19,1,1,3506.685,0
Mr Robert Douglas Norman,male,S,2,28,0,0,1288.17,0
"Mr Alfred (""Baron von Drachstedt"") Nourney",male,C,2,20,0,0,1322.75975,1
Mrs (Elizabeth Ramell) Nye,female,S,2,29,0,0,1001.91,1
Mr Richard Otter,male,S,2,39,0,0,1240.46,0
Mr Percy Thomas Oxenham,male,S,2,22,0,0,1001.91,1
Mr Julian Padro y Manent,male,C,2,,0,0,1322.75975,1
Dr Alfred Pain,male,S,2,23,0,0,1001.91,0
Mr Emilio Pallas y Castello,male,C,2,29,0,0,1322.358986,1
Mr Clifford Richard Parker,male,S,2,28,0,0,1001.91,0
"Mr Francis ""Frank"" Parkes",male,S,2,,0,0,0,0
Mrs (Lutie Davis) Parrish,female,S,2,50,0,1,2480.92,1
Mr Frederick William Pengelly,male,S,2,19,0,0,1001.91,0
Mr Rene Pernot,male,C,2,,0,0,1436.071,0
Rev Joseph Maria Peruschitz,male,S,2,41,0,0,1240.46,0
Miss Alice Frances Louisa Phillips,female,S,2,21,0,1,2003.82,1
"Miss Kate Florence (""Mrs Kate Louise Phillips Marshall"") Phillips",female,S,2,19,0,0,2480.92,1
Mr Escott Robert Phillips,male,S,2,43,0,1,2003.82,0
Mrs (Rosa) Pinsky,female,S,2,32,0,0,1240.46,1
Mr Martin Ponesell,male,S,2,34,0,0,1240.46,0
Mr Emilio Ilario Giuseppe Portaluppi,male,C,2,30,0,0,1215.41225,1
Mr Franz Pulbaum,male,C,2,27,0,0,1434.477486,0
Miss Phyllis May Quick,female,S,2,2,1,1,2480.92,1
Miss Winifred Vera Quick,female,S,2,8,1,1,2480.92,1
Mrs Frederick Charles (Jane Richards) Quick,female,S,2,33,0,2,2480.92,1
Mr David Reeves,male,S,2,36,0,0,1001.91,0
Mr Peter Henry Renouf,male,S,2,34,1,0,2003.82,0
Mrs Peter Henry (Lillian Jefferys) Renouf,female,S,2,30,3,0,2003.82,1
Ms Encarnacion Reynaldo,female,S,2,28,0,0,1240.46,1
Mr Emile Richard,male,C,2,23,0,0,1435.670236,0
Master George Sibley Richards,male,S,2,0.8333,1,1,1789.125,1
Master William Rowe Richards,male,S,2,3,1,1,1789.125,1
Mrs Sidney (Emily Hocking) Richards,female,S,2,24,2,3,1789.125,1
Miss Lucy Ridsdale,female,S,2,50,0,0,1001.91,1
Mr Reginald Harry Rogers,male,S,2,19,0,0,1001.91,0
Miss Emily Rugg,female,S,2,21,0,0,1001.91,1
Mr August Schmidt,male,S,2,26,0,0,1240.46,0
Mr Charles Frederick Waddington Sedgwick,male,S,2,25,0,0,1240.46,0
Mr Percival James R Sharp,male,S,2,27,0,0,2480.92,0
Mrs William (Imanita Parrish Hall) Shelley,female,S,2,25,0,1,2480.92,1
Miss Lyyli Karoliina Silven,female,S,2,18,0,2,1240.46,1
Miss Maude Sincock,female,S,2,20,0,0,3506.685,1
Miss Anna Sinkkonen,female,S,2,30,0,0,1240.46,1
Mr Ernst Adolf Sjostedt,male,S,2,59,0,0,1288.17,0
Miss Hilda Mary Slayter,female,Q,2,30,0,0,1178.437,1
Mr Richard James Slemen,male,S,2,35,0,0,1001.91,0
Miss Marion Elsie Smith,female,S,2,40,0,0,1240.46,1
Mr Samuel James Hayden Sobey,male,S,2,25,0,0,1240.46,0
Mr Samuel Ward Stanton,male,C,2,41,0,0,1435.670236,0
Mr Philip Joseph Stokes,male,S,2,25,0,0,1001.91,0
Mr George Swane,male,S,2,18.5,0,0,1240.46,0
Mr George Frederick Sweet,male,S,2,14,0,0,6202.3,0
Miss Ellen Toomey,female,S,2,50,0,0,1001.91,1
Mr Moses Aaron Troupiansky,male,S,2,23,0,0,1240.46,0
Mrs William H (Jessie L) Trout,female,S,2,28,0,0,1207.063,1
"Miss Edwina Celia ""Winnie"" Troutt",female,S,2,27,0,0,1001.91,1
Mr William John Robert Turpin,male,S,2,29,1,0,2003.82,0
Mrs William John Robert (Dorothy Ann Wonnacott) Turpin,female,S,2,27,1,0,2003.82,0
Mr James Veal,male,S,2,40,0,0,1240.46,0
Miss Nellie Walcroft,female,S,2,31,0,0,2003.82,1
Mr John James Ware,male,S,2,30,1,0,2003.82,0
Mr William Jeffery Ware,male,S,2,23,1,0,1001.91,0
Mrs John James (Florence Louise Long) Ware,female,S,2,31,0,0,2003.82,1
Mr Ennis Hastings Watson,male,S,2,,0,0,0,0
Miss Bertha J Watt,female,S,2,12,0,0,1502.865,1
"Mrs James (Elizabeth ""Bessie"" Inglis Milne) Watt",female,S,2,40,0,0,1502.865,1
Miss Susan Webber,female,S,2,32.5,0,0,1240.46,1
Mr Leopold Weisz,male,S,2,27,1,0,2480.92,0
Mrs Leopold (Mathilde Francoise Pede) Weisz,female,S,2,29,1,0,2480.92,1
Master Ralph Lester Wells,male,S,2,2,1,1,2194.66,1
Miss Joan Wells,female,S,2,4,1,1,2194.66,1
"Mrs Arthur Henry (""Addie"" Dart Trevaskis) Wells",female,S,2,29,0,2,2194.66,1
Miss Barbara J West,female,S,2,0.9167,1,2,2647.905,1
Miss Constance Mirium West,female,S,2,5,1,2,2647.905,1
Mr Edwy Arthur West,male,S,2,36,1,2,2647.905,0
Mrs Edwy Arthur (Ada Mary Worth) West,female,S,2,33,1,2,2647.905,1
Mr Edward H Wheadon,male,S,2,66,0,0,1001.91,0
"Mr Edwin ""Frederick"" Wheeler",male,S,2,,0,0,1228.5325,0
Mr Charles Wilhelms,male,S,2,31,0,0,1240.46,1
Mr Charles Eugene Williams,male,S,2,,0,0,1240.46,1
Miss Marion Wright,female,S,2,26,0,0,1288.17,1
"Miss Henriette (""Mrs Harbeck"") Yrois",female,S,2,24,0,0,1240.46,0
Mr Anthony Abbing,male,S,3,42,0,0,720.421,0
Master Eugene Joseph Abbott,male,S,3,13,0,2,1932.255,0
Mr Rossmore Edward Abbott,male,S,3,16,1,1,1932.255,0
Mrs Stanton (Rosa Hunt) Abbott,female,S,3,35,1,1,1932.255,1
Miss Karen Marie Abelseth,female,S,3,16,0,0,729.963,1
Mr Olaus Jorgensen Abelseth,male,S,3,25,0,0,729.963,1
Mr Abraham August Johannes Abrahamsson,male,S,3,20,0,0,756.2035,1
Mrs Joseph (Sophie Halaut Easu) Abrahim,female,C,3,18,0,0,689.810264,1
Mr Mauritz Nils Martin Adahl,male,S,3,30,0,0,691.795,0
Mr John Adams,male,S,3,26,0,0,768.131,0
Mrs Johan (Johanna Persdotter Larsson) Ahlin,female,S,3,40,1,0,904.1045,0
Master Philip Frank Aks,male,S,3,0.8333,0,1,892.177,1
Mrs Sam (Leah Rosen) Aks,female,S,3,18,0,1,892.177,1
Mr Nassef Cassem Albimona,male,C,3,26,0,0,1792.70325,1
Mr William Alexander,male,S,3,26,0,0,752.62525,0
Mr Ilmari Rudolf Alhomaki,male,S,3,20,0,0,756.2035,0
Mr Ahmed Ali,male,S,3,24,0,0,672.711,0
Mr William Ali,male,S,3,25,0,0,672.711,0
Mr William Henry Allen,male,S,3,35,0,0,768.131,0
Mr Owen George Allum,male,S,3,18,0,0,791.986,0
Mr Albert Karvin Andersen,male,S,3,32,0,0,2149.3355,0
Miss Carla Christine Nielsine Andersen-Jensen,female,S,3,19,1,0,749.447764,1
Master Sigvard Harald Elias Andersson,male,S,3,4,4,2,2984.2605,0
Miss Ebba Iris Alfrida Andersson,female,S,3,6,4,2,2984.2605,0
Miss Ellis Anna Maria Andersson,female,S,3,2,4,2,2984.2605,0
Miss Erna Alexandra Andersson,female,S,3,17,4,2,756.2035,1
Miss Ida Augusta Margareta Andersson,female,S,3,38,4,2,741.8905,0
Miss Ingeborg Constanzia Andersson,female,S,3,9,4,2,2984.2605,0
Miss Sigrid Elisabeth Andersson,female,S,3,11,4,2,2984.2605,0
Mr Anders Johan Andersson,male,S,3,39,1,5,2984.2605,0
"Mr August Edvard (""Wennerstrom"") Andersson",male,S,3,27,0,0,743.875236,1
Mr Johan Samuel Andersson,male,S,3,26,0,0,741.8905,0
Mrs Anders Johan (Alfrida Konstantia Brogren) Andersson,female,S,3,39,1,5,2984.2605,0
Mr Paul Edvin Andreasson,male,S,3,20,0,0,749.447764,0
Mr Minko Angheloff,male,S,3,26,0,0,753.417236,0
Mr Josef Arnold-Franchi,male,S,3,25,1,0,1698.476,0
Mrs Josef (Josefine Franchi) Arnold-Franchi,female,S,3,18,1,0,1698.476,0
Mr Ernst Axel Algot Aronsson,male,S,3,24,0,0,741.8905,0
Mr Adola Asim,male,S,3,35,0,0,672.711,0
Master Carl Edgar Asplund,male,S,3,5,4,2,2994.99525,0
Master Clarence Gustaf Hugo Asplund,male,S,3,9,4,2,2994.99525,0
Master Edvin Rojj Felix Asplund,male,S,3,3,4,2,2994.99525,1
Master Filip Oscar Asplund,male,S,3,13,4,2,2994.99525,0
Miss Lillian Gertrud Asplund,female,S,3,5,4,2,2994.99525,1
Mr Carl Oscar Vilhelm Gustafsson Asplund,male,S,3,40,1,5,2994.99525,0
Mr Johan Charles Asplund,male,S,3,23,0,0,743.875236,1
Mrs Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,S,3,38,1,5,2994.99525,1
"Mrs Mariana (""Miriam"") Assaf Khalil",female,C,3,45,0,0,689.4095,1
Mr Gerios Assaf,male,C,3,21,0,0,689.4095,0
Mr Ali Assam,male,S,3,23,0,0,672.711,0
Miss Malake Attalah,female,C,3,17,0,0,1379.610986,0
Mr Sleiman Attalah,male,C,3,30,0,0,689.4095,0
Mr Albert Augustsson,male,S,3,23,0,0,749.447764,0
Miss Banoura Ayoub,female,C,3,13,0,0,689.810264,1
Mr Raffull Baccos,male,C,3,20,0,0,689.4095,0
Mr Karl Alfred Backstrom,male,S,3,32,1,0,1512.407,0
Mrs Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,S,3,33,3,0,1512.407,1
Miss Eugenie Baclini,female,C,3,0.75,2,1,1837.626986,1
Miss Helene Barbara Baclini,female,C,3,0.75,2,1,1837.626986,1
Miss Marie Catherine Baclini,female,C,3,5,2,1,1837.626986,1
Mrs Solomon (Latifa Qurban) Baclini,female,C,3,24,0,3,1837.626986,1
Miss Emily Louisa Badman,female,S,3,18,0,0,768.131,1
Mr Mohamed Badt,male,C,3,40,0,0,689.4095,0
Mr Cerin Balkic,male,S,3,26,0,0,753.417236,0
Mr Hanna Assi Barah,male,C,3,20,0,0,689.810264,1
Miss Saiide Barbara,female,C,3,18,0,1,1379.219764,0
Mrs (Catherine David) Barbara,female,C,3,45,0,1,1379.219764,0
Miss Julia Barry,female,Q,3,27,0,0,751.833264,0
Mr David John Barton,male,S,3,22,0,0,768.131,0
Mr William Thomas Beavan,male,S,3,19,0,0,768.131,0
Mr John Viktor Bengtsson,male,S,3,26,0,0,741.8905,0
Mr Karl Ivar Sven Berglund,male,S,3,22,0,0,892.177,0
Master Seman Betros,male,C,3,,0,0,689.810264,0
Mr Tannous Betros,male,C,3,20,0,0,382.87275,0
Mr Lee Bing,male,S,3,32,0,0,5390.829236,1
Mr Hans Martin Monsen Birkeland,male,S,3,21,0,0,741.8905,0
Mr Ernst Herbert Bjorklund,male,S,3,18,0,0,739.505,0
Mr Guentcho Bostandyeff,male,S,3,26,0,0,753.417236,0
Master Akar Boulos,male,C,3,6,1,1,1454.754236,0
Miss Nourelain Boulos,female,C,3,9,1,1,1454.754236,0
Mr Hanna Boulos,male,C,3,,0,0,689.4095,0
Mrs Joseph (Sultana) Boulos,female,C,3,,0,2,1454.754236,0
Miss Mary Bourke,female,Q,3,,0,2,739.505,0
Mr John Bourke,male,Q,3,40,1,1,1479.01,0
Mrs John (Catherine) Bourke,female,Q,3,32,1,1,1479.01,0
"Mr David John ""Dai"" Bowen",male,S,3,21,0,0,1536.262,0
Miss Bridget Delia Bradley,female,Q,3,22,0,0,737.1195,1
Miss Elin Ester Maria Braf,female,S,3,20,0,0,749.447764,0
Mr Lewis Richard Braund,male,S,3,29,1,0,672.310236,0
Mr Owen Harris Braund,male,S,3,22,1,0,691.795,0
Mr Karl Rudolf Brobeck,male,S,3,22,0,0,743.875236,0
Mr William Alfred Brocklebank,male,S,3,35,0,0,768.131,0
Miss Katherine Buckley,female,Q,3,18.5,0,0,694.972486,0
Mr Daniel Buckley,male,Q,3,21,0,0,746.260736,1
Mr Jeremiah Burke,male,Q,3,19,0,0,644.085,0
Miss Mary Delia Burns,female,Q,3,18,0,0,751.833264,0
Miss Manda Cacic,female,S,3,21,0,0,826.57575,0
Miss Marija Cacic,female,S,3,30,0,0,826.57575,0
Mr Jego Grga Cacic,male,S,3,18,0,0,826.57575,0
Mr Luka Cacic,male,S,3,38,0,0,826.57575,0
Mr Jovo Calic,male,S,3,17,0,0,826.57575,0
Mr Petar Calic,male,S,3,17,0,0,826.57575,0
Miss Mary Canavan,female,Q,3,21,0,0,739.505,0
Mr Patrick Canavan,male,Q,3,21,0,0,739.505,0
Mr Ernest Charles Cann,male,S,3,21,0,0,768.131,0
Mr Joseph Caram,male,C,3,,1,0,1379.610986,0
Mrs Joseph (Maria Elias) Caram,female,C,3,,1,0,1379.610986,0
Mr August Sigfrid Carlsson,male,S,3,28,0,0,743.875236,0
Mr Carl Robert Carlsson,male,S,3,24,0,0,749.447764,0
"Miss Helen ""Ellen"" Carr",female,Q,3,16,0,0,739.505,1
Miss Jeannie Carr,female,Q,3,37,0,0,739.505,0
Mr Alfred John Carver,male,S,3,28,0,0,691.795,0
Mr Francesco Celotti,male,S,3,24,0,0,768.131,0
Mr David Charters,male,Q,3,21,0,0,737.911486,0
Mr Chang Chip,male,S,3,32,0,0,5390.829236,1
Mr Emil Christmann,male,S,3,29,0,0,768.131,0
Mr Apostolos Chronopoulos,male,C,3,26,1,0,1379.219764,0
Mr Demetrios Chronopoulos,male,C,3,18,1,0,1379.219764,0
Mr Domingos Fernandeo Coelho,male,S,3,20,0,0,672.711,0
"Mr Gurshon ""Gus"" Cohen",male,S,3,18,0,0,768.131,1
Mr Patrick Colbert,male,Q,3,24,0,0,691.795,0
Mr Peju Coleff,male,S,3,36,0,0,715.249236,0
Mr Satio Coleff,male,S,3,24,0,0,715.249236,0
Mr Thomas Henry Conlon,male,Q,3,31,0,0,737.911486,0
Mr Michael Connaghton,male,Q,3,31,0,0,739.505,0
Miss Kate Connolly,female,Q,3,22,0,0,739.505,1
Miss Kate Connolly,female,Q,3,30,0,0,727.978264,0
Mr Patrick Connors,male,Q,3,70.5,0,0,739.505,0
Mr Jacob Cook,male,S,3,43,0,0,768.131,0
Mr Bartol Cor,male,S,3,35,0,0,753.417236,0
Mr Ivan Cor,male,S,3,27,0,0,753.417236,0
Mr Liudevit Cor,male,S,3,19,0,0,753.417236,0
Mr Harry Corn,male,S,3,30,0,0,768.131,0
"Master Eden Leslie ""Neville"" Coutts",male,S,3,9,1,1,1517.178,1
"Master William Loch ""William"" Coutts",male,S,3,3,1,1,1517.178,1
"Mrs William (Winnie ""Minnie"" Treanor) Coutts",female,S,3,36,0,2,1517.178,1
Mr Daniel Coxon,male,S,3,59,0,0,691.795,0
Mr Ernest James Crease,male,S,3,19,0,0,778.464986,0
Miss Laura Alice Cribb,female,S,3,17,0,1,1536.262,1
Mr John Hatfield Cribb,male,S,3,44,0,1,1536.262,0
Mr Jeso Culumovic,male,S,3,17,0,0,826.57575,0
Mr Shedid Daher,male,C,3,22.5,0,0,689.4095,0
Mr Karl Edwart Dahl,male,S,3,45,0,0,768.131,1
Miss Gerda Ulrika Dahlberg,female,S,3,22,0,0,1003.503514,0
Mr Branko Dakic,male,S,3,19,0,0,970.497736,0
"Miss Margaret Marcella ""Maggie"" Daly",female,Q,3,30,0,0,663.169,1
Mr Eugene Patrick Daly,male,Q,3,29,0,0,739.505,1
Master Gilbert Sigvard Emanuel Danbom,male,S,3,0.3333,0,2,1374.048,0
Mr Ernst Gilbert Danbom,male,S,3,34,1,1,1374.048,0
Mrs Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,S,3,28,1,1,1374.048,0
Mr Yoto Danoff,male,S,3,27,0,0,753.417236,0
Mr Ristiu Dantcheff,male,S,3,25,0,0,753.417236,0
Mr Alfred J Davies,male,S,3,24,2,0,2304.393,0
Mr Evan Davies,male,S,3,22,0,0,768.131,0
Mr John Samuel Davies,male,S,3,21,2,0,2304.393,0
Mr Joseph Davies,male,S,3,17,2,0,768.131,0
Mr Thomas Henry Davison,male,S,3,,1,0,1536.262,0
Mrs Thomas Henry (Mary E Finck) Davison,female,S,3,,1,0,1536.262,1
Mr Guillaume Joseph de Messemaeker,male,S,3,36.5,1,0,1660.308,1
Mrs Guillaume Joseph (Emma) de Messemaeker,female,S,3,36,1,0,1660.308,1
Mr Theodore de Mulder,male,S,3,30,0,0,906.49,1
Mr Alfons de Pelsmaeker,male,S,3,16,0,0,906.49,0
Master Bertram Vere Dean,male,S,3,1,1,2,1963.2665,1
"Miss Elizabeth Gladys ""Millvina"" Dean",female,S,3,0.1667,1,2,1963.2665,1
Mr Bertram Frank Dean,male,S,3,26,1,2,1963.2665,0
Mrs Bertram (Eva Georgetta Light) Dean,female,S,3,33,1,2,1963.2665,1
Mr Redjo Delalic,male,S,3,25,0,0,753.417236,0
Mr Marinko Demetri,male,S,3,,0,0,753.417236,0
Mr Mitto Denkoff,male,S,3,,0,0,753.417236,0
Mr Samuel Dennis,male,S,3,22,0,0,691.795,0
Mr William Dennis,male,S,3,36,0,0,691.795,0
Miss Margaret Delia Devaney,female,Q,3,19,0,0,751.833264,1
Mr Mirko Dika,male,S,3,17,0,0,753.417236,0
Mr Jovan Dimic,male,S,3,42,0,0,826.57575,0
Mr Valtcho Dintcheff,male,S,3,43,0,0,753.417236,0
Mr Tannous Doharr,male,C,3,,0,0,689.810264,0
Mr Patrick Dooley,male,Q,3,32,0,0,739.505,0
Mr Edward Arthur Dorking,male,S,3,19,0,0,768.131,1
Miss Elizabeth Dowdell,female,S,3,30,0,0,1190.3645,1
Miss Elizabeth Doyle,female,Q,3,24,0,0,739.505,0
Miss Jennie Drapkin,female,S,3,23,0,0,768.131,1
Mr Jozef Drazenoic,male,C,3,33,0,0,753.417236,0
